PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
141,35.5955691,137.0958412,-1.4,-132.794,-39.775,7,5337,71,93
142,35.5955691,137.0958391,-1.4,-132.798,-40.303,7,5337,71,93
143,35.5955688,137.0958326,-1.4,-132.892,-41.926,7,5337,71,93
144,35.5955685,137.0958285,-1.4,-132.978,-42.938,7,5337,71,93
145,35.5955683,137.0958245,-1.4,-133.055,-43.939,7,5337,71,93
146,35.5955681,137.0958213,-1.4,-133.1,-44.754,7,5337,71,93
147,35.5955678,137.0958174,-1.4,-133.211,-45.738,7,5337,71,93
148,35.5955671,137.0958135,-1.4,-133.401,-46.707,7,5337,71,93
149,35.5955666,137.0958092,-1.4,-133.577,-47.771,7,5337,71,93
150,35.5955661,137.0958054,-1.4,-133.727,-48.745,7,5337,71,93
151,35.5955656,137.0958022,-1.4,-133.876,-49.531,7,5337,71,93
152,35.5955652,137.0957996,-1.4,-133.999,-50.198,7,5337,71,93
153,35.595564,137.0957932,-1.4,-134.358,-51.802,7,5337,71,93
154,35.5955633,137.0957893,-1.4,-134.581,-52.772,7,5337,71,93
155,35.5955627,137.0957853,-1.4,-134.768,-53.758,7,5337,71,93
156,35.5955621,137.0957809,-1.4,-134.96,-54.878,7,5337,71,93
157,35.5955618,137.0957778,-1.269,-135.04,-55.648,7,5337,71,93
158,35.5955615,137.0957748,-1.4,-135.129,-56.387,7,5337,71,93
159,35.5955612,137.0957684,-1.4,-135.222,-57.992,7,5337,71,93
160,35.5955612,137.0957645,-1.4,-135.242,-58.987,7,5337,71,93
161,35.595561,137.0957603,-1.4,-135.28,-60.024,7,5337,71,93
162,35.5955611,137.0957567,-1.4,-135.265,-60.936,7,5337,71,93
163,35.595561,137.0957526,-1.4,-135.3,-61.953,7,5337,71,93
164,35.5955609,137.0957513,-1.4,-135.322,-62.295,7,5337,71,93
165,35.5955607,137.0957444,-1.4,-135.393,-64.015,7,5337,71,93
166,35.5955606,137.0957402,-1.4,-135.417,-65.051,7,5337,71,93
167,35.5955606,137.0957363,-1.4,-135.426,-66.032,7,5337,71,93
168,35.5955604,137.0957323,-1.4,-135.478,-67.031,7,5337,71,93
169,35.5955602,137.0957284,-1.4,-135.53,-68.03,7,5337,71,93
170,35.5955601,137.0957244,-1.4,-135.582,-69.029,7,5337,71,93
171,35.5955601,137.0957241,-1.4,-135.585,-69.096,7,5337,71,93
172,35.5955597,137.0957161,-1.4,-135.689,-71.094,7,5337,71,93
173,35.5955596,137.0957121,-1.4,-135.741,-72.093,7,5337,71,93
174,35.5955594,137.0957081,-1.4,-135.793,-73.092,7,5337,71,93
175,35.5955592,137.0957041,-1.4,-135.845,-74.091,7,5337,71,93
176,35.595559,137.0957002,-1.4,-135.897,-75.09,7,5337,71,93
177,35.5955589,137.0956962,-1.4,-135.949,-76.089,7,5337,71,93
178,35.5955589,137.0956959,-1.4,-135.952,-76.155,7,5337,71,93
179,35.5955587,137.0956879,-1.4,-136.002,-78.155,7,5337,71,93
180,35.5955586,137.0956839,-1.4,-136.027,-79.155,7,5337,71,93
181,35.5955585,137.0956799,-1.4,-136.052,-80.155,7,5337,71,93
182,35.5955585,137.0956759,-1.4,-136.077,-81.155,7,5337,71,93
183,35.5955584,137.0956719,-1.4,-136.102,-82.155,7,5337,71,93
184,35.5955583,137.095668,-1.4,-136.127,-83.155,7,5337,71,93
185,35.5955583,137.0956678,-1.4,-136.128,-83.189,7,5337,71,93
186,35.5955583,137.0956598,-1.4,-136.138,-85.189,7,5337,71,93
187,35.5955582,137.0956558,-1.4,-136.143,-86.189,7,5337,71,93
188,35.5955582,137.0956518,-1.4,-136.148,-87.189,7,5337,71,93
189,35.5955582,137.0956479,-1.4,-136.153,-88.189,7,5337,71,93
190,35.5955582,137.0956439,-1.4,-136.158,-89.189,7,5337,71,93
191,35.5955582,137.0956399,-1.4,-136.163,-90.189,7,5337,71,93
192,35.5955582,137.0956397,-1.4,-136.163,-90.228,7,5337,71,93
193,35.5955581,137.0956317,-1.4,-136.181,-92.228,7,5337,71,93
194,35.5955581,137.0956277,-1.4,-136.19,-93.228,7,5337,71,93
195,35.5955581,137.0956237,-1.4,-136.199,-94.228,7,5337,71,93
196,35.595558,137.0956197,-1.4,-136.208,-95.228,7,5337,71,93
197,35.595558,137.0956158,-1.4,-136.217,-96.228,7,5337,71,93
198,35.595558,137.0956118,-1.4,-136.226,-97.228,7,5337,71,93
199,35.5955579,137.0956078,-1.4,-136.235,-98.228,7,5337,71,93
200,35.5955579,137.0956038,-1.4,-136.244,-99.228,7,5337,71,93
201,35.5955579,137.095601,-1.4,-136.25,-99.917,7,5337,71,93
202,35.5955577,137.095593,-1.4,-136.304,-101.917,7,5337,71,93
203,35.5955576,137.095589,-1.4,-136.331,-102.917,7,5337,71,93
204,35.5955575,137.0955851,-1.4,-136.358,-103.917,7,5337,71,93
205,35.5955575,137.0955811,-1.4,-136.385,-104.917,7,5337,71,93
206,35.5955574,137.0955771,-1.4,-136.412,-105.917,7,5337,71,93
207,35.5955573,137.0955731,-1.4,-136.439,-106.917,7,5337,71,93
208,35.5955572,137.0955691,-1.4,-136.466,-107.917,7,5337,71,93
209,35.5955571,137.0955651,-1.4,-136.493,-108.917,7,5337,71,93
210,35.595557,137.0955621,-1.4,-136.513,-109.653,7,5337,71,93
211,35.5955569,137.0955542,-1.4,-136.567,-111.653,7,5337,71,93
212,35.5955568,137.0955502,-1.4,-136.594,-112.653,7,5337,71,93
213,35.5955567,137.0955462,-1.4,-136.621,-113.653,7,5337,71,93
214,35.5955566,137.0955422,-1.4,-136.648,-114.653,7,5337,71,93
215,35.5955565,137.0955382,-1.4,-136.675,-115.653,7,5337,71,93
216,35.5955564,137.0955342,-1.4,-136.702,-116.653,7,5337,71,93
217,35.5955563,137.0955302,-1.4,-136.729,-117.653,7,5337,71,93
218,35.5955563,137.0955262,-1.4,-136.756,-118.653,7,5337,71,93
219,35.5955562,137.0955233,-1.4,-136.776,-119.385,7,5337,71,93
220,35.595556,137.0955153,-1.4,-136.828,-121.385,7,5337,71,93
221,35.5955559,137.0955113,-1.4,-136.854,-122.385,7,5337,71,93
222,35.5955559,137.0955073,-1.4,-136.88,-123.385,7,5337,71,93
223,35.5955558,137.0955033,-1.4,-136.906,-124.385,7,5337,71,93
224,35.5955557,137.0954993,-1.4,-136.932,-125.385,7,5337,71,93
225,35.5955556,137.0954953,-1.4,-136.958,-126.385,7,5337,71,93
226,35.5955555,137.0954913,-1.4,-136.984,-127.385,7,5337,71,93
227,35.5955554,137.0954875,-1.4,-137.009,-128.346,7,5337,71,93
228,35.5955541,137.0954797,-1.4,-137.419,-130.304,7,5337,71,93
229,35.5955532,137.0954776,-1.4,-137.704,-130.839,7,5337,71,93
230,35.5955504,137.0954719,-1.4,-138.564,-132.247,7,5337,71,93
231,35.5955487,137.0954693,-1.4,-139.081,-132.898,7,5337,71,93
232,35.5955435,137.0954648,-1.4,-140.694,-134.024,7,5337,71,93
233,35.5955418,137.095464,-1.4,-141.204,-134.237,7,5337,71,93
234,35.5955358,137.095462,-1.4,-143.06,-134.736,7,5337,71,93
235,35.5955332,137.0954612,-1.4,-143.873,-134.93,7,5337,71,93
236,35.5955322,137.095461,-1.4,-144.16,-134.986,7,5337,71,93
237,35.5955256,137.09546,-1.392,-146.206,-135.228,7,5337,71,93
238,35.5955224,137.0954601,-1.4,-147.193,-135.221,7,5337,71,93
239,35.5955199,137.09546,-1.4,-147.946,-135.245,7,5337,71,93
240,35.595514,137.0954601,-1.4,-149.776,-135.221,7,5337,71,93
241,35.595511,137.0954601,-1.4,-150.698,-135.198,7,5337,71,93
242,35.5955091,137.0954614,-1.4,-151.295,-135.173,7,5337,71,93
243,35.5955025,137.0954617,-1.4,-153.332,-135.12,7,5337,71,93
244,35.5954996,137.0954617,-1.4,-154.21,-135.118,7,5337,71,93
245,35.5954932,137.0954622,-1.4,-156.203,-134.979,7,5337,71,93
246,35.5954906,137.0954623,-1.4,-156.996,-134.962,7,5337,71,93
247,35.595484,137.0954625,-1.4,-159.029,-134.899,7,5337,71,93
248,35.5954811,137.0954627,-1.4,-159.914,-134.85,7,5337,71,93
249,35.59548,137.0954628,-1.4,-160.263,-134.83,7,5337,71,93
250,35.5954742,137.0954632,-1.4,-162.034,-134.732,7,5337,71,93
251,35.595471,137.0954636,-1.4,-163.031,-134.624,7,5337,71,93
252,35.595471,137.0954636,-1.4,-163.035,-134.624,7,5337,71,93
253,35.5954645,137.095464,-1.4,-165.033,-134.544,7,5337,71,93
254,35.5954613,137.0954641,-1.4,-166.032,-134.504,7,5337,71,93
255,35.595459,137.0954642,-1.4,-166.727,-134.477,7,5337,71,93
256,35.5954525,137.0954644,-1.4,-168.727,-134.441,7,5337,71,93
